广东频道,#genre#
广东珠江,http://php.jdshipin.com:8880/TVOD/iptv.php?id=gdzj
广东珠江,http://cdn2.132.us.kg/live/gdzj/stream.m3u8
大湾区卫视,http://116.28.99.152:8888/udp/239.77.0.215:5146
cctv13,http://cc2022.ifengli.com:2000/live/cctv-newssd/1500.m3u8?innersid=007
cctv1,http://cc2022.ifengli.com:2000/live/cctv-1hd/2500.m3u8?innersid=007
珠江2,http://cdn2.163189.xyz/live/gdzj/stream.m3u8
金鹰卡通,http://phonetx.qing.mgtv.com/nn_live/nn_x64/8.8&/JYKTMPP360.m3u8
金鹰卡通,http://113.205.49.165:8089/newlive/live/hls/51/live.m3u8
cctv13,http://113.205.49.165:8089/newlive/live/hls/14/live.m3u8
cctv1,https://www.freetv.top/migu/608807420.m3u8?migutoken=3016544d981c7ca608d4e136080e952cdc4cbb30710b42968ea4362eaabcbecab1ba568ea6e5a3fa0bf3f1d972ebff30d9e4c242875380a95d300cf3b4fcc855e34d4249a8fefc72462977690c
